"SITE";"ID";"TEXTE";"MOVE"
"G1";1;"CWT";3
"G1";2;"VOYAGES D’AFFAIRES
MEETINGS & EVENTS
À PROPOS DE CWT
INFOS ET RESSOURCES
CONTACT
CHANGE LANGUAGE(FR)CONNEXION VOYAGEUR";4
"G1";3;"Le succès des programmes de voyage avec un partenaire mondial de choix
Des voyages et des réunions d'affaires intelligents";1
"G1";4;"PARLONS NOUS !";7
"G1";5;"Global Business Travel Forecast 2024
Pour la neuvième année consécutive, le CWT / GBTA Travel Price Forecast 2024 aide les entreprises à comprendre les prix des billets d'avion, les tarifs des chambres d'hôtel, le transport terrestre et les réunions et événements. Les prévisions explorent également l'évolution des prix, ainsi que les facteurs de changement.

Grâce à des entretiens avec des dirigeants de CWT et de GBTA, et à une analyse approfondie du Dr Shawn DuBravac (Avrio Institute), futuriste mondial reconnu et auteur de best-sellers pour le New York Times, vous aurez une longueur d'avance sur la courbe.

LIRE LES PRÉVISIONS POUR 2024";5
"G1";6;"Créer des expériences d'événements en personne, hybrides et virtuels
Nos connaissances et notre expérience portent sur la gestion des voyages, des réunions et des événements des participants. Nous développons continuellement notre expertise afin d'apporter le même service amical et professionnel à l'industrie des réunions et des événements. Nous vous aidons à tenir vos promesses, en veillant toujours à ce que vous atteigniez vos objectifs commerciaux. Chez CWT Meetings & Events, notre charte de qualité définit notre façon de travailler.
EXPLORER M&E";5
"G1";7;"À vos marques, prêt, partez !
Lorsque vous définissez vos objectifs et vos engagements en matière de durabilité, avez-vous une idée précise de la manière d'y parvenir ? CWT est là pour vous guider vers un programme de voyage durable grâce à des trucs et astuces et aux conseils de ses experts.

LIRE MAINTENANT";5
"G1";8;"Découvrez notre application
La plateforme intégrée myCWT de CWT comprend notre application mobile primée, qui contribue à faciliter la vie des voyageurs d'affaires et des organisateurs de voyages. Qu'ils réservent un voyage en ligne, sur mobile ou par l'intermédiaire de l'un de nos conseillers en voyages dédiés, tous les détails de leurs arrangements de voyage seront accessibles via chaque canal. L'application myCWT offre une interface claire et intuitive sur tous les appareils, ce qui permet de gagner du temps et d'améliorer la productivité.

ESSAYEZ MYCWT";5
"G1";9;"Dernières nouvelles de CWT";5
"G1";10;"Prenez soin de vos voyageurs et protégez votre entreprise

Sureté et Sécurité
Une politique de gestion des risques et du bien-être des voyageurs est, plus que jamais, primordiale.

Que vous ayez besoin d'un programme simple pour la sécurité et le bien-être de vos collaborateurs ou d'un programme plus complet, CWT vous donne accès à une solution intégrée pour la sécurité de vos voyageurs qui répond à vos besoins spécifiques.

Chez CWT, nous souhaitons vous aider à anticiper et à planifier le futur tout en garantissant le bien-être de vos voyageurs.

En savoir plus sur la sécurité des voyageurs";5
"G1";11;"Dernières informations";4
